id;appliname;partenairelocal;partenairedistant;directory;filename;mode;typology;type;hostname;port;demandeur_id
1;service-desk mobile;FHU2;SSL Glens Configurable;Texas ivory microchip;Optimization;PULL;IN;bypass;SDD frame capacitor;92012;1
2;Saint Martin Bolivia;FHU2;attitude;Luxembourg;Customer;PULL;IN;Analyst Steel;Park;34420;2
3;back up;FHU2;New York Tasty New Leu;Branding Officer;turn-key Fantastic metrics;PUSH;IN;Incredible Wooden Bike Grocery;payment program Spring;54706;3
4;Intelligent;FHU2;Corporate parsing HDD;Jewelery copying;National firewall Persevering;PUSH;IN;Producer Home Loan Account pixel;Auto Loan Account Front-line;54718;4
5;Down-sized Small Soft Ball groupware;FHU2;silver;Stand-alone Singapore Metal;indexing CSS;PULL;OUT;Fantastic Frozen Computer;payment;4300;5
6;HDD multi-byte Well;FHU2;infomediaries programming Organic;Sleek Steel Bacon;Meadow Configurable;PULL;OUT;pixel;Division Cloned;61800;6
7;drive withdrawal focus group;FHU1;revolutionize sky blue hub;invoice Ethiopia input;Tennessee deploy;PULL;IN;mesh feed;compressing Light sexy;26981;7
8;Pizza input;FHU1;Saint Kitts and Nevis Rand Namibia Dollar Chair;AI;Savings Account deposit COM;PUSH;IN;Steel internet solution Bolivar Fuerte;Sports;77302;8
9;Branding monitoring haptic;FHU1;Grass-roots Handcrafted Metal Pants;Wooden THX;Dynamic Serbian Dinar;PUSH;IN;directional middleware;Place Chief bus;77169;9
10;Jewelery Turkish Lira Investment Account;FHU2;Jamaican Dollar;Savings Account;Motorway indexing;PULL;OUT;Executive Technician Cambridgeshire;Personal Loan Account;59078;10
