id;name_ct;function_ct;phone_number_ct;email_ct
1;Inverse;Awesome;HDD Licensed Granite Towels;Practical Plastic Computer
2;methodologies;Massachusetts Nevada Sri Lanka;Outdoors silver;Lead technologies
3;parse Interactions;Unbranded Wooden Ball Tasty Borders;system RAM;blue JSON
4;Kentucky;Hawaii;Home Loan Account Fish;Sleek Plastic Bacon driver Berkshire
5;Implemented Applications Azerbaijanian Manat;overriding Investment Account;Borders;port West Virginia Norwegian Krone
6;transparent Generic Grass-roots;Fantastic connecting;Gorgeous Steel Hat parse;Analyst Personal Loan Account Organized
7;solid state Bedfordshire;Manors Street Arkansas;Rustic Soft Pizza Division Clothing;redundant
8;holistic programming;JSON silver;reboot Cloned override;payment
9;overriding Granite radical;Western Sahara maroon;enable payment Shoes;morph generating
10;action-items national Granite;Metal Islands;Steel Norwegian Krone copy;cross-platform Configurable
